FACULTY_ID,FIRST_NAME,LAST_NAME,ROLE,START_DATE,END_DATE
1,Joe,Little,Teacher,1995-12-1,
2,Samantha,Clark,Principal,1998-1-4,
3,Natalie,Ellis,Teacher,1999-1-5,
4,Nathan,Ramos,Teacher,1999-2-6,
5,Juan,Collins,Teacher,2000-2-7,
6,Janet,Green,Teacher,2001-3-9,
7,Joshua,Welch,Teacher,2002-3-10,
8,Cheryl,Johnson,Teacher,2002-4-11,
9,Logan,Garrett,Teacher,2002-4-11,
10,Anthony,Mason,Teacher,2003-4-12,
11,Logan,Walsh,Teacher,2004-4-13,
12,Martha,Mccoy,Teacher,2004-5-14,2007-9-5
13,Ronald,George,Dean,2005-5-14,
14,Abigail,Weaver,Teacher,2005-5-15,
15,Scott,Lynch,Teacher,2005-5-15,
16,Kent,Clark,Teacher,2005-5-15,
17,Edward,Craig,Teacher,2005-5-15,
18,Frank,Harper,Teacher,2007-6-18,
19,Alexis,Herrera,Teacher,2008-7-19,
20,Marie,Morales,Teacher,2009-8-21,
21,Brandon,Silva,Teacher,2010-8-23,
22,Christian,Marshall,Dean,2010-8-23,
23,Henry,Howard,Teacher,2011-9-23,
24,Alan,Barnett,Dean,2011-9-24,
25,Karen,Palmer,Teacher,2011-9-24,
26,James,Patterson,Teacher,2013-10-26,
27,Dylan,Walton,Teacher,2014-5-28,2015-7-8
28,Stephen,Fuller,Teacher,2014-7-28,
29,Dorothy,Morris,Teacher,2014-8-29,
